time;sender;message;receiver
1.0;CAPCOM; Lift-off.;CDR
2.0;CDR; The clock is running.;CAPCOM
3.0;CMP;Okay. P11, Jim.;CDR
5.0;CDR; Yaw program.;CMP
10.0;CAPCOM; Clear the tower.;CDR
11.0;CDR; Clear the tower.;CMP
12.0;CMP; Clear the tower.;CDR
14.0;CDR; Yaw complete. Roll program.;CMP
16.0;CAPCOM; Houston, Roger. Roll. [Long pause.];CDR
19.0;CDR;2,000 feet.;CAPCOM
30.0;CAPCOM;13, Houston. Go at 30 seconds.;CMP
32.0;CMP; Okay, you're right on, Jim. You're right on trajectory.;CAPCOM
34.0;CDR; Roll complete, and we're pitching.;CAPCOM
36.0;CAPCOM; Roger that. Stand by for Mode I Bravo.;CDR
42.0;CAPCOM; Mark.;CDR
43.0;CAPCOM; I Bravo.;CDR
44.0;CDR; I Bravo.;CAPCOM
45.0;CMP; RCS command. [Long pause.];CDR
48.0;CDR; One-and-a-half g's. Okay, high Q coming up.;LMP
55.0;LMP; Cabin's coming down.;CDR
57.0;CDR; Alt is looking good.;CMP
62.0;CMP; Okay, you're right on...;CDR
63.0;CAPCOM;13, Houston. Go at 1. We show the cabin relieving.;CMP
65.0;CMP; Yes.;CAPCOM
67.0;CDR;"13; Roger. [Long pause.]";CAPCOM
68.0;CMP; You're right on, Jim.;CDR
77.0;CDR; Two g's.;CMP
86.0;CDR; Alt is looking good.;CMP
91.0;CMP;Okay, you're right on at 01:30. 10 4 ... a little bit high ... we're a little bit high, about 0.4 of a mile.;CDR
97.0;CDR; Got to speak louder.;CMP
99.0;CMP; Okay.;LMP
100.0;LMP; Cabin's looking good.;CMP
103.0;CDR;2Â½ g's and we're looking good in alpha.;CAPCOM
110.0;CDR;40,000.;CAPCOM
115.0;CAPCOM;13, Houston. Stand by for Mode I Charlie.;CDR
117.0;CDR; Roger.;CAPCOM
118.0;CAPCOM; Mark.;CDR
119.0;CAPCOM; You're I Charlie.;CDR
120.0;CDR; Mark.;CAPCOM
121.0;CDR; I Charlie.;CAPCOM
122.0;CAPCOM;And, 13, you are Go for staging.;CDR
124.0;CDR; Go for staging. Roger.;CAPCOM
125.0;CMP; We're EDS, manual.;CDR
127.0;CDR; Okay.;CMP
128.0;CAPCOM; Copy that. [Pause.];CDR
131.0;CDR;3Â½ g's.;CAPCOM
